prompt,answers
"By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire'","By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire' Hong Chan Mon (Shocking and terrifying Hong Xian). And it had also given me The Muppet Movie, the cult favourite film of 1987. But as the film progressed it became increasingly difficult to say when the films would show themselves. There was no easy way of knowing when and where they were going to come from and this was one of Hong's greatest challenges to this film. Unfortunately in 1989, director Guo-Yin Chen decided that his films didn't look so great anymore because of these problems. They looked like they had been made in Hong Wan. It was not until early 1990 that Chinese directors began creating their own films at the peak of their popularity and I am not sure whether or not this trend would continue in China because these were not enough movies to sustain Hong Wans fame. I think 'Shrek' is certainly one example, but it needed to be made for audiences to appreciate this movie and there was quite a bit of talent in that. So after the 'Rise of Shrek', the cast of 'Dracula' (1990) and `Blood and Blood and The Bloody Bride' started to show up in great numbers. The movie took on a certain amount of interest because it was the same concept but this time they added a touch"
"If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl","If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl. The plot involves the ghost of a man who was the wife of Annie's dad, a police captain, who died during a night raid on the house of the boy's parents, the old men at the back, Annie, Pierce and Eddy, some friends who are friends at school and a big neighbor who loves his dad. I just thought I had seen enough Grey O' Owl movies to know that there's more than one type of plot. Annie goes to a hospital for the night, where some other ghosts are getting their bearings, then she makes a quick getaway for school while her brother is still a kid, he gets chased by the bad guys, has a vision in which the dead man is moving around and then disappears from the picture. There was lots of action, I believe it was a very dark movie with really gruesome murders, there are more deaths than you would expect. It all makes you want to go to bed before the time ends and sleep on it. Every single night before bedtime in the middle of winter in Chicago, we watch Annie go into sleep, it is quite obvious that she is having nightmares and being eaten by ghosts. Another thing that I didn't like was that the only mention of evil was when Annie walks out of hell,"
"If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards","If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards from the pearly gates of capitalism, so much so that to this day, we've seen a series of films like those, where the characters in all these films have not only personal relationships with their rich neighbours but are constantly on the lookout for hidden treasures. How this film achieves such a huge success with its cinematography is almost beyond me at times, but the cinematographer, director, film producer and production designer Pierre Sauter seems to have achieved something unprecedented in the development of his film making efforts.<br /><br />""Whirling Dukes"" is an interesting little film. It is shot in beautiful cinemas in France from 1972 to 1974 (some of its sets were also shot at the Leicestershire Studios) where its effects were largely filmed in colour. Although this is in English, some of these shots were shot with black and white, which gave ""Aunt Jean et une Terre"" an excellent feel to it, and especially in its use of black camera-work, with a strong emphasis on natural colour and colour combinations which make this an incredible film with excellent effects. Unfortunately, this may have more to do with Sault Ste Marie, a film I never really understood. One of Souders finest scenes is his dramatic final look"
Pickup On South Street is one of the most brilliant movies ever made,"Pickup On South Street is one of the most brilliant movies ever made. There is a lot going on to be interesting in this movie. For an average person, or for a horror movie buff such as me myself. The story is about this young boy who has left his mother's house with him to find a better life, and now he wants to join the army, at age 25. He then meets the girl at the train station where he meets his father. Now he's an infantry member that is sent out to fight alongside soldiers for the British Army in Africa in WWI, where they fight against the Germans in a major battle.<br /><br />The film has a very gritty look to it. It is all true to life and true, well done, there are some really unique scenes in one scene. If the story of Soldiers and Soldiers Two could also be described as such, I will not tell you the ending though. This movie is filled with great action, great cinematography for both action and cinematography. As far as the music is concerned there is not a bad track to go through. All the sets are perfect and a beautiful scenery is captured and presented. In fact, in terms of music they sound beautiful, the effects are quite fantastic, it's a true film experience at it is simply awe inspiring."
"I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE","I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABEAST. The idea of making a film with one hundred lines of dialogue to the next is a great story and the acting is top class. If we compare ""Citizen Kane"" and ""Holly Jolly"" to see what a masterpiece this is in, it's all different, but what I really liked about this movie though is how it has something to offer a whole new world to us. I hope that this review will be helpful in helping to educate kids on all of the wonderful things the British have to do to make a beautiful film.<br /><br />The cast is excellent. Alan Cumming as the famous London mayor of Hong Kong has an amazing talent and he looks magnificent as he plays a city politician, Sir Arthur Conan Doyle is superb as himself, the film makes you appreciate the whole concept of a person becoming a politician and making love to every person and their character and then being able to live the love and friendship between them as you would have in a real conversation of love, conflict and war and of course our characters also being extremely likable characters, especially in the role of Anne Rice. When we are in love we simply say ""I love you, Anne"" very simply and as an ending I love Anne as much as I will forever love her because"
"* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality ","* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality!!!!.<br /><br />If you feel cheated by the fact that both 'Gangnam Style' and 'South Park' are essentially about gangsters and revenge then you should skip both to the end of this series. In South Park we have to see both characters in an original way (see how two 'Kongsongs' can be combined? and how the two are so alike??) to understand this. <br/><b) In this episode (with the missing two scenes), a female 'Girl' escapes, then the gangster is out of town, and the Gangster starts to hunt the 'Boy' down from the town. And, how did this go so well for them? i'll not go into the details for the uninitiated, the story is just as nonsensical as the first one. It was a very silly scene for a TV episode,and the actors were in fine form,the only thing missing was the sound track.<br *brick*) However, some reviewers have not said anything really concerning the plot (I assume they didn't want to put as much substance on that!)"
This is a really fun movie,"This is a really fun movie. It is really enjoyable to see a movie that has not just the acting but also the direction. The film is based around three college students that are studying art to get a sense of the city and what it is like outside their apartment. This story is told in a very realistic way. There really would not have been enough depth in the story to really see how the characters were drawn. Also not so much on the character of a character is revealed. <br /><br />The movie takes place three years after the first movie because this was a family trip and not a school trip. My wife and I found a little bit about this movie very upsetting because we know the main character isn't a great writer and is very uneducated as to what is real life, I felt that this film would be very interesting and we could see the same character very seriously which is why it seemed so appealing to me.<br/><BR />In addition to the wonderful art of this young city, it seems to go on forever. I was very impressed with the casting of some of our cast members as well. One of them was absolutely gorgeous as a young girl who happens to be from a small town and as soon as she sees this town she will just adore it! A nice"
Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues,"Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues, who claim she's nothing more than a pawn in a long game being voted off the table by a few friends she is friends with, (Robert Mitchum). A new love love, with the support of her 'friend' (David Blaine) and her fellow ex-girlfriend, Juliette (Anna Kendrick), who also plays the new fiancé of Carlia herself, comes to London to help her husband deal with his impending divorce. However, one night, when Julietle is having trouble sleeping, she falls for the handsome and 'tasteful' brunette, Paul O'Connor (Kevin Bacon), on the advice of a handsome gentleman, Carli (Jennifer Lawrence), and is at ease. But the friendship between O and Juliettes doesn't last long, as Carlli runs a ruthless 'party line' with a 'bitch', (Michael Keaton), demanding O get naked. This 'love' is soon turned upside down when a hit man (Christopher Walken) murders the 'new girlfriend', Caroline, whose corpse is found inside and the murder is just as brutal as the previous killer. Meanwhile, Caroline's 'girlfriend' doesn, too, and just how they can love one another depends on whom you're dating. The young and beautiful Caroline"
"When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure","When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure even by the highest ranks of Hollywood.<br /><br />The best way, as I have personally written, to compare it to the ""Lucky Ones"" ""The Haunter"" or ""Sleeping Dead"" movie is to see several different, yet totally different stories (one of them being the one in which the character is played by Robert Downey Jr.).<br/><strongly suggest not only are these movies good, but that they have been created to be taken seriously. They are just as good or better than the big names such as ""House of Cards"", ""Arrested Development"", et al. and are actually very well done.<b />In addition to making these films look great and exciting (even though they are the ones that are usually associated with the genre), and being a truly awful horror film to say the least, these three films all do a rather good job of blending various genres into their respective narratives, and the overall effect is that this has more than enough excitement to make up for the lack of suspense, especially for those who do not identify with genre at all.<citation needed). To further illustrate, take one of the scenes in this movie in one big way! When one hears horror tales of ""curse"","
"Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions)","Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions) to become one of my favorite films in history, much better with better special effects (such as the fact that no actors are ever used to look like their normal versions, in fact they all look just like standard American American characters), with so much beautiful, dramatic scenes. And the scenes between Anna and her sister (a nice little young actress who seems to have lost touch with reality) are so real, and they actually feel real (see ""The Kiss""), that it was quite possibly the last time I'd seen the old English versions of Anna, but I'm glad that the New Orleans MGM made it official (for all you Brits out there), and I got to see the two-film version after seeing the Japanese version in early 1939 in which the main characters are again not very young, which only makes it an instant treat! My rating is 15 for this film, so no I don't have a specific idea how many, how long it is, what the actual age was, or just what was really happening in each scene. But if you've seen or are experiencing the original, you should definitely check out this movie. This is NOT the perfect film to catch a glimpse of real life and live life in the USA (except for one), but this is the"
