,prompt,answers
0,"By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire'","By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire' with another title of `The Incredible Hulk and his Incredible Mansion'. By 1979 a new title was planned, the so called `GungHo' which stands for Kung-Fu, Kung Pun, in this movie. Its character was the villain; the real villain was unknown until much time later, when they decided on some clever way to disguise him. Hongkong had decided to give it some money that would allow for more movies to be filmed, but they couldn't come up with a very convincing film. This year the Hong Lung-fu production company of Hong Lien Productions had hired Wong Li Ka-ching to direct, and they started producing these two films, The Legend of Kong Fu and The Incredible Hangul. From the first they set out to build a monster statue, as a means of making an important cult film, not something they wanted for kids, so they had this new production, Kong Kung Fu, made specifically for young children. Their film was very good, with great casting and fantastic visuals. It was all released on DVD but has since been deleted, it has its time on it.<br /><br />It's really no surprise to see that Kong Kong's cult of over 50,000 fans is based on the original Kung fu. Most adults"
1,"If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl","If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl. It's a very funny movie, filled with good humour and a decent storyline! It works so well, I think I'll be having a hard time viewing it since I'm not allowed to change the channel. I love Greyolos movies but this is not one of them!"
2,"If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards","If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards through the political and economic system. The story moves so fast that the audience can see it clearly but the editing is very good to show us the depth and energy of what is really happening, especially of a young actress in her twenties. In French the main focus is young Marie Claire, for whom it is a personal choice not to commit crimes. If you compare the director with Rene Matisse in the past and Rolle Rifoul and Francois Guillot in ""The Descent,"" you can compare Raulle to Rufus and see the similarities. ""Rulle"" is also similar to ""Ostinémoire,"" that was directed by René. There is an eerie atmosphere in France and one of Rieu's best works. This does not do much justice to the other films, and ""Les Bien Vert"", which was the only French feature made in America. It is the kind of movie where you will have to pay attention to several times more than what the subtitles say before you watch the movie. You will want to get some of that on your DVD, as it adds to great pleasure in watching it. Also the acting by Toulouse and Tillefis reminds you how great French acting is nowadays. They all"
3,Pickup On South Street is one of the most brilliant movies ever made,"Pickup On South Street is one of the most brilliant movies ever made by a Disney-maker. It is not merely great films or good movies; it was always fascinating to watch when my favorite Disney characters suddenly appeared on the screen. I have not seen one more Disney movie featuring Walt Disney before going to bed in the night, and I do enjoy hearing them rhyme each other when they're talking. The movie is a simple matter of finding the right time to start filming, but the script makes the movie, without over-rating, perfect. You are not missing much, the acting is excellent, I am very happy I only rented it because of my dad. After watching it, my parents would sit up and sing along to the soundtrack as he was telling the story. This movie was worth viewing just to see some of his movies. Disney has always been a very talented director/producer/writer, yet they created their characters and developed a strong storyline and character while making it so entertaining to look at and watching. Watch it and you will see how great these Disney movies can be, they never let you down and love the characters they create, as they are never so naive to do something new or different in life as often they do. Also, even though he is constantly telling different stories, this movie will always remind you of all"
4,"I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE","I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABEAT: ""You made me cry"" is not the same song as ""I'll never go back to being a person."" The movie makes the ""Crying"" cliché in the movie seem real, since it is true all the way from Troma's release. I believe this movie is based on a real story.<br /><br />I would never compare two great comedies (I also like ZORA): I would be lying if I said this ""ponytail"" had the talent to portray the character of ""Otto."" Maybe the best comparison I can make is this one. The story is very similar in tone, with very different characters. However, the main difference is the fact of the difference between the two stories.<p/a] <branonymous"
5,"* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality ","* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality _________________________________<br /><br />So, before making up my mind on who really wins that fight, I will give you what i believe to be the biggest and most boring of all the episodes in all of my books. The first one, as you read the synopsis, was basically: a fight that started out in the same battle where there was no one other than the old teacher, the guy in charge of that new school/receiving all students to the finals.<br -P) And what could have possibly occurred? The whole idea of this fight is that everyone who is a part of a school should stand up and fight... And let's face it, this is NOT a good time of fighting, even not in this bad school where nobody says anything... But, what really counts is, if the fight had been in a bad way, that would be absolutely ridiculous, would make the whole thing seem ridiculous if it wasn't. This episode was even worse as all fights had a big bad guy, there's no fight outside of fight in, really, like in other stories we've seen.<-P, but thats another day. Well, now that i've said all that, just go to sleep for a few days (I was hoping that the"
6,This is a really fun movie,"This is a really fun movie. Very interesting character development is also given to the movie, and this movie is extremely intriguing. It has a lot of funny moments that are memorable. The cast is great, especially the women. They are very powerful, likable, very likably dressed, interesting, charismatic, etc. All in all, I would recommend this. If someone you know is out to find out where to start this, this will be the answer to that question. As for the film itself, the production is OK, but what's the point? A lot. You just kind of love it.<br /><br />The movie starts very well and it goes on for really, really long. There are some very good scenes in the cast, such as at the beginning (a couple of scenes) and they make an interesting ending. In general, with the way things are going out in life, people go out with some strange dreams about killing people, making fun of the ""others"" for being idiots, or getting jealous of people. I suppose it is that simple with ""the movie's themes"" and that it has all that. However, once you get to know this film better, some of that is gone, like the characters go from being just silly ""bad"" to"
7,Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues,"Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues.<br /><br />The film is a beautiful experience of courage and dignity. We see a remarkable scene that is the highlight of the movie: the man getting dressed in the same outfit as a character that had been shot over and over again, never to be found again. She is in this case a true survivor, who is having flashbacks of what was really going on. I was totally transfixed right from the beginning. And, of course, there is one scene in which we get flashbacks. It's also worth watching, but nothing can rival it, without the sheer physical force of it.< br />Director of photography Luis Fosco also has to show us a very unique way of being in Paris during the 1920s. At times even the great scenes in front of us are difficult to miss, because, together with the music, we are allowed to experience what it meant to the people and places to which our time was dedicated. To appreciate this aspect is an achievement, and a great reminder that time is not everything."
8,"When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure","When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure because it lacked any compelling characters or compelling plot. That was the case with ""Dead Men Lying"" in 1971. The movie was shot on a wide screen in a theater with special lights that dazzled, some very well-known actors were shown playing scenes of their scenes, and the audience was well aware that they were not the real thing. It turns out that that was an overproduction and, indeed, the entire film was filmed at night. For most of the film, it seems pretty obvious to the uninitiated that this was not only a terrible film shot entirely at a low budget (it was actually much slicker) to make room for its characters, but a massive over-production. A script that had potential for amazing effects, a story that would be extremely fun to write and shoot, an excellent premise for a feature film directed with all of these elements in place, was badly missed. What the heck happened?<br /><br />Director John Cargill, as always, seemed to be quite good in this. All that really happened in the movie is that he made several bad edits to various locations, like some poor camera work and lighting, editing that never had the chance to move the camera (for a script); he tried by lighting"
9,"Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions)","Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions) and with some added nudity and language that makes life tolerable again (not much)."
