,prompt,answers
0,"By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire'","By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire' with another title of `The Incredible Hulk and his Incredible Mansion'. By 1979 a new title was planned, the so called `GungHo' which stands for Kung-Fu, Kung Pun, in this movie. Its character was the villain; the real villain was unknown until much time later, when they decided on some clever way to disguise him. Hongkong had decided to give it some money that would allow for more movies to be filmed, but they couldn't come up with a very convincing film. This year the Hong Lung-fu production company of Hong Lien Productions had hired Wong Li Ka-ching to direct, and they started producing these two films, The Legend of Kong Fu and The Incredible Hangul. From the first they set out to build a better film, as a follow-up to `LungFu', which they didn't manage to make.<br /><br />'Lambo' is based on the adventures made by Lee Le-je's first movie, 'Thunderball' a few years later. It is pretty much a comedy, about a bunch of teenagers hanging out in a pub. In fact, it is very fun to watch as Lee's character is just a normal teen. The plot is mainly based upon this premise, although"
1,"If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl","If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl. It's a very funny movie, filled with good humour and a decent storyline! It works so well, I think I'll be having a hard time viewing it since I'm not allowed to change the channel. I love Greyolos movies but this is not one of them."
2,"If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards","If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards through the political and economic system. The story moves so fast that the audience can see it clearly but the editing is very good for filming. I can't stop crying when someone screams at me from the back of my head. Of course, all the action takes place around the beautiful, rural landscape of Le Bonne. It's easy only to see why people love to watch Paris - a city worth preserving and a place so beautiful that it is impossible to ignore. But I love this country and it's amazing that there are so many people walking around every day who don't feel the same way. My wife, our beautiful daughter and niece. This film made me want to make films for myself and my children and for all to enjoy. Jean Pierre Lafitte and Jean Girard de Marre have all great performances. They show us that we have the right to our country in our own right so that those affected by racism cannot hide and continue enjoying life in the present."
3,Pickup On South Street is one of the most brilliant movies ever made,"Pickup On South Street is one of the most brilliant movies ever made by a Disney-maker. It is not merely an epic thriller about the lives of a child and a girl who live in a world full of violence, chaos, violence and war. This film is no more.<br /><br />This movie should be seen by all children at all ages.<p><b />"
4,"I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE","I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABEAT: ""You made me cry"" is not the same song as ""I'll never go back to being a person."" The movie makes the ""Crying"" cliché in the movie seem real, since it is true all the way from Troma's release. I believe this movie is based on a real story.<br /><br />I would never compare two great comedies (I also like ZORA): I would be lying if I said this ""ponytail"" had the talent to portray the character of ""Otto."" Maybe the best comparison I can make is this one. The story is very similar in tone, with very different characters. However, the main difference is the fact of the director's involvement. In ""Diana Farrow,"" he was responsible for most of this type of comedienne (in fact he is responsible now for THE BEAUTY AND THE CHAPEL). Although the title of a play suggests a romance, there is much more in LUMINAH that takes place than with that plot twist and the ridiculous love scenes.<br -P.S. - I saw this version of ZONA three years ago on VHS!< br />"
5,"* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality ","* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality _________________________________<br /><br />So, before making up my mind,here's another good thing to say...<Brilliant actors like Tom Hanks and L.A."""
6,This is a really fun movie,"This is a really fun movie. Very interesting character development is also given to the movie, and this movie is extremely intriguing. It has a lot of funny moments that are memorable. The cast is great, especially the women. They are very powerful, likable, very likably dressed. Even when it's on the air, they're all very funny; even the lead roles always have a very strong theme. This would be best shown on TV in the winter."
7,Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues,"Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues.<br /><br />The film is a beautiful experience of courage and dignity. We see a remarkable scene that is the highlight of the movie: the man getting dressed in the same outfit as a character that had been shot over and over, and never to be found again. She is in this case a true survivor, who is having flashbacks of what was really going on. I was totally transfixed right from the beginning. And, of course, there is one scene in which we get flashbacks. It's also worth watching, but nothing can rival it, without the sheer physical force of it.< br />Director of photography Luis Fosco also has to show us a very unique way of being in Paris during the height of events during World War II. With ""My Day on Earth"", his camera shows no limitations around us as we experience the lives of people involved in these conflict against the forces of darkness. This film, also filmed at the University of Paris is an achievement in itself. The film demonstrates that all of reality can be depicted with some extraordinary sensitivity."
8,"When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure","When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure because it lacked any compelling characters or compelling plot. That was the case with ""Dead Men Lying"" in 1971. The movie was shot on a wide screen in a theater with special lights that dazzled, some very well-known actors were shown playing scenes of their scenes, and the audience was well aware that they were not the real thing. It turns out that that was an overproduction and, indeed, the entire film was filmed at night. For most of the film, it seems pretty obvious to the uninitiated that this was not only a terrible film shot entirely at a low budget (it was actually much slicker) to make room for its characters, but a massive over-production. A script that had potential for amazing effects, a story that would be extremely fun to write and shoot, an excellent premise for a feature film directed with all of these elements in place, was badly missed. What the heck happened?<br /><br />Director John Cargill, as always, seemed to be quite good in this. All that really happened in the movie is that he made several bad edits to various locations, like some poor camera work and lighting, editing that never had the chance to move the camera (for a script); he tried by lighting"
9,"Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions)","Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions) and with some added nudity and language that makes the movie look an insult to the director.<br/><strong><blockquote width=""400"" height=""160"" color=""#ff0000"" align=""center"" />The dialogue is somewhat unorganized, so you can feel the tension that goes on through most of the scenes.<cav:44><span title=""The Tale of Anna"" /]"
