prompt,answers
"By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire'","By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire' in 1984. Some other films such as 'Hollywood Blood', 'The Lost Cities of New York', ''The Big Sleep', and `Spirited Away in Hollywood' all have been'shopped down' because of their strong and positive reviews, particularly in Hong. However, it is here that Peter Chan (The Ghost Story) took the biggest lead in ""The Ghosts of Hong Kailu"" starring Sis Wuxi and Paul Verhoeven (Hair-raising Action). Wong and Wesser (Funko in `Carnage') played a couple who are in many ways the opposite of what they are supposed to be. The two are together but they don't have the same type of relationship. Peter takes the lead since he is trying to get away from the past, which is very hard to do in this day and age.<br /><br />We see the two characters being pursued by two different policemen who want their lives back from life. One officer is a criminal and fights back against the evil he has in him. If you want to see a Chinese movie for yourself, or even just a Western made by HongKong fans, then try this movie and its superb score. Its excellent and I highly recommend one of them"
"If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl","If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl! The storyline is told in flashbacks, so you can understand why her character is so different...but even then, that doesn't tell you much. The character's motivations are all vague at best, then the end abruptly leaves you confused by the very odd events leading up to it! If you ever wondered what a Grey- Owl died for, look no further! It really will make you ask the question ""Will we survive this next time we see her in a movie?"" If not, tell us...what about Peter Cushing's character?! It isn't as funny as it sounds - his only real redeeming quality is his portrayal of a ""baddy"", only this time he actually has a nice face! Why is Gray Owl called Edgar? Did Cushman (the father of John C. McGraw) never kill a baby? Or maybe Grey Owls are a kind of evil spirit that can touch and manipulate humans? In the beginning of ""Lost City"", when Edgar was young, the villain he wanted to use to kill someone was killed by a monster in the original movie by Gray, a very dumb man. Now, in ""True Detective"", Edgar is very intelligent - he's a psychopath, but he is more sympathetic than evil or evil...<br /"
"If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards","If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards in the market. From here ""The Road"", as it is loosely structured, seems to be taking place in a real place. The film is set in Spain. In the town of Riquier, where its famous streets are located, in rural Spain I've found the film really has a kind of feel, and it's nice to see a lot of French cinema on their plates here. There is a sort of modern Spanish style style of cinema, that has been taken a long time to find a place here in Italy and even Italy has its own traditions when it comes to film.<br /><br />The main actors of both films are excellent. Rene Chandon has an excellent chemistry with Joan Cusack, he is brilliant as a young man, which is really nice. Joan Cuker's chemistry is also wonderful and she goes to the cinema more often than not every once in two years. Joan Chon has more charisma than any actor I would suspect, she has so much charm that everyone sees what she is up to and so it makes me feel a little more at home in her character. And as I said it almost seems like the whole picture is made up of a couple of very well-known French-versa-French actors."
Pickup On South Street is one of the most brilliant movies ever made,Pickup On South Street is one of the most brilliant movies ever made
"I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE","I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABEON.I hope there are others who do see this like me as well.It is very entertaining, and it takes the viewer inside the culture of the first world, or the black man/ghetto in the United States, to get a better understanding of it. The film is definitely not the same as those made in THE GOOD OR THE BAD. It is entertaining but still very raw, that makes it very difficult for me to sit through. I wish I could get past many of these and just watch it one more day, like all of BCAO, but for now I have a hard time."
"* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality ","* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality!!! Secondly, for the sake of being humorous it may not be the funniest series of some time (in my opinion this is in fact ""the funnest of these""),but I still think it remains the best of it. Finally, the only characters who stick out right are, of course, Kim and Kim Min Ho (the first, and first to ""have a good time""), Kwon and Choi, who are supposed to be just as funny and more adult, rather than serious.<br /><br />However, I cannot think of a worse series since K-Punk, even though it has a few flaws: and the main one is, without a doubt, a terrible one - but it's still *so** good. Not to say that this series must be avoided, but most likely, if you want to laugh at it, try the comedy, or at least try to catch it on cable."
This is a really fun movie,"This is a really fun movie as a story as well as the musical score which is one of the best ones I have seen in a very long time. My friends and I loved it all! It is an outstanding film! If you are looking for one or two bad films for Halloween-go-rounds, the movie will make you laugh but I won't spoil any parts of this film."
Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues,"Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues and is left with no option but to find herself in the position. Soon she does. As the world starts to get a little tighter there aren't any quick fixes. It isn't until several weeks later that he's back at work that a real change comes to his life.<br /><br />""A Man Seeking Freedom is the perfect story"", says Giannetti, ""because it is just as original."" From the first story it turns into something much much deeper. And indeed, I feel it has become a part of the mythology of France's cinema history. In two different years it will be even more influential. Paris is as much a place the people have lived, as a country where everything is taken for granted. At the same time, these people are not stupid or mean; They are just human beings, human relationships, that can easily turn against one another if needed. With ""A man seeking freedom"", they're free, and they can all return to their roles in society. They have a home and a life. ""I Love You"" is no exception."
"When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure","When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure, yet no one would give it a shot like it.<br /><br />The filmmakers wisely decided not to let this fad die.<Br />You're better off with something new, something original, and something to laugh at."
"Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions)","Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions) but still enjoyable. In addition to this, the film has more surprises, too. I found it hard-fought to accept the title ""Anna."" Some people may see this as a nod to one of John Ford's films, but at the same time, much of the plot focuses on a family who are struggling with alcoholism.<br //hinting at that is ""The Life and Times of Anna,"" and the story of a widowed father and his wife. While we get some very nice songs, some good action figures, and plenty of beautiful girls, I still never got past the end scenes. Despite having been released in English theaters, you still get something to like about the movie and enjoy the cast as well as their talent. The director seems to be putting a lot in to make the character appealing. <br/>< br />Some people on IMDb and elsewhere commented on the quality of this film. Others, like myself, have only read and are still very critical of it. Some believe it is a flawed, low-budget, slow-moving, german version. My own opinions are that this is not a bad film at all. But it can't be compared with American movies, with the exception of an Italian-American movie, or"
