prompt,answers
"By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire'","By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire' which was an absolute masterpiece.<br /><br />I am sure that many others have also mentioned how similar the concept of being able to capture animals with the hand of a ghost is to capturing that animal and using it to lure it into a life of crime.<BR / RATING: A2 <br - All-star cast, superb execution of script and acting.< BR / VIEWPOINTS: <a href=""http://www.wux.org/files/films/comedy.html?""_location><span_tab_id=""922"")><a id=""1045""]<br _><i_<span style=""bold italic italics/strung-out lettering/style-direction/characterizations/background characters""]/ < span class=""no-questions-asked/"" / ><br class="""" style="""" />[ i_"
"If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl","If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl! If this film is to be made into any kind of movie then you never know what type of acting it will be. And to top it all off it must be amazing! The movie has a strong story where they are forced to live with the idea of a group of bad guys that want revenge on themselves when they do die! In my opinion a good story is made of this. I will not spoil the acting here, but let's take the action section! Pierce, with any luck, will change the way you think about the world and your characters and then create a believable story. At the end of the day the film will make you love it! But if you don't LOVE the Black and White version, watch it and say ""This movie sucked!!!"", and that's enough! My rating=8/10, by the other reviewers and other people (thank you for the comments). I only want to say that I really enjoyed it as I am a huge fan of Poe but loved the character of Emily Grey. Emily is definitely a solid actress with good eye sight, great performance and beautiful facial expression, the scene in the bar scene made me go out of my way to watch for a moment of suspense. But it never gets old as most movies do not"
"If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards","If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards, in order to continue living a life of luxury and fame. The film is about Jean-Paul Renaud's relationship with his daughter, Leopold. That was part of why he was so ambitious in this film, to the point where we begin to understand why, despite having lived a more complicated and complex life, we can see such a contrast at every turn. This leads to a complex and moving story with a strong cast which includes an unusual character, one who is a writer, a painter, an actress(Alessandro Del Palma), and a famous actor - which all work together in a very clever way. In short, Jean is the film that you cannot begin, with your hopes and dreams, your dreams with all your money, dreams you want to keep and your ambitions with everything else you are working on, and yet with nothing really happening to you that is anything near the real things that matter most to your entire life.<br /><br />The relationship between this great film and French society. It is quite obvious that Renault is also a great admirer of modern art-making in the country, especially art and film being one of his primary passions. So much so, that it is not strange that the first time we see it,"
Pickup On South Street is one of the most brilliant movies ever made,"Pickup On South Street is one of the most brilliant movies ever made. It is extremely complex, a gripping drama which is truly a masterpiece and an exceptionally beautiful film which will leave you with a deep memory and unforgettable memories. This film is absolutely the best film that the world could have conceived without becoming the absolute best of cinema.<br /><br />The production values are the least of which need to be mentioned with great depth. From what most reviewers have said about the script, the direction, acting, script and screenplay the film has it all. We have plenty of great characters, we just know their strengths, weaknesses and weaknesses as well as their weaknesses, strengths and shortcomings are reflected throughout the story. A story which demands to see these individuals in a different way than the characters who exist only for themselves. Every character has a unique identity, many relationships within their own country, but they all come together in their respective ways. One character of mine recently told me that he never gets involved in politics, preferring to live on the streets of New York rather than in this country. I am absolutely convinced that all this and more is why Mr. Deane has managed to get to this great point where life is possible without a fixed point in his life. How many other films have had such a film called ""No Man's Land""?<br"
"I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE","I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE AND PEDOPHILE. This film is so wrong, it was actually more shocking then seeing it now, and I hate that a great filmmaker had such a positive impact on the lives of many young people. It took a special place in my heart, making me cry at the whole thing. With all the actors that I had seen in the film I am sad to say that they were totally wasted!! It is sad that some filmmakers can portray so much of this kind of nonsense. I think it is very shameful if they could not make a film that is as touching, uplifting and honest about what this movie was like! <br /><br />This movie is just like a dream to me. After reading my other comments my friends and family had already made up their mind to be the filmmakers to go with. Unfortunately, because of how I felt, our dream came true for these two amazing people, Babes and Pedophi leeked to their destiny! I was very fortunate to do the interviews with them, even though I could have done without the help of such amazing individuals that made this dream happen! If this ""film"" has your family on your minds...you should see it for yourself! The truth is...we do not have"
"* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality ","* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality!!! (i think this was even though the character of Cissy was an action figure or something)<br /><br />Second, the script and the director are clearly the same guys from the first two books,even if the dialog and acting differ alot from what you have seen here.<br - Pfft. This only serves to add to the bad acting and weak writing throughout this first one,why can't this writer/director get all the points to get the film out?<- Pbq)"
This is a really fun movie,"This is a really fun movie for anyone who enjoys a good romance/romance story and a couple of bad romance movies. I love the storyline, the characters, and the great music. If you like cheesy teen romances, you'll love this movie but beware. Even though a fairly obscure British gangster/gangster movie, like this one, it's worth the watch or just sit through it and forget about it.<br /><br />You know, just because something doesn't work does not mean it is necessarily evil...in a funny way or something is. But, even though the plot was nice and had a nice atmosphere and atmosphere to it that made the movie fun for everyone.<BR /></br/>There was also some really cool music especially by the likes of Steve Buscemi, who plays the lead role. The music was catchy and was very original. And while it has to be said that it was really funny, I was a little bit surprised that the film wasn't so silly and ridiculous. So yeah it just makes me really recommend this to people that hate kids movies, or guys who like some ""teeny girl"" stuff. Overall, though, at least a lot of fun. For me, my rating of 7/10, definitely a plus.<Br /"
Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues,"Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues. She has a problem, not realizing that at the same time she is responsible for the actions she has to take. And she does, even though she knows she will be ostracized...she's afraid to go public or face criticism, and when all else fails, she goes after him to tell him the truth! And there's no end result.<br /><br />This is just a good soap opera, just like the movie ""The Great Dictator"".<br/><"
"When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure","When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure in film making. The movie would fail miserably, with a handful of good actors in all but two of his early scenes. Unfortunately, his talent was severely misdirected and his work was a fiasco. Here is the truth about ""The Great Escape."" Here it's the baddie Robert Blake and a bunch of other poor souls. He's actually a decent character but he's a bad guy not in a good way.<br /><br />Blake has a very annoying voice too. In fact, the only time I heard a word that could be called ""unrealistic"" or ""apparantly fake"" was when he was in the desert with his own family when Blake's character was attacked. This made the movie sound like a true horror film but a lot of it is nonsense in this movie. It's just the same old old plot that goes nowhere near the intensity that came with the original ""Return of the King."" In truth, Blake never became this kind of baddies. If he did, I expect him to be ""better"" than a human being like James Earl Jones or Billy Crystal. His character is much more human than he is in ""Empire."" Blake is an ""artificial"" killer who can't make a difference whatsoever. You can"
"Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions)","Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions) for two reasons: it does not take itself seriously; and it has little to draw comparisons with the other recent films: the acting is all of the best (and in my opinion the funniest) in the film--and the sets are quite striking. (I would certainly recommend checking out the Polish film ""Dances in Dizzy's New York"", as it may be one of those films that was not made by Garb) The film is shot in a beautiful setting, with some lovely scenery to spare in these days, but not for every day audience. It is full of charm--both the characters and the camera."
