prompt,answers
"By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire'","By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire' -- but Hongkongers still didn't know the genre or the medium was just a series of scary film clichés, a few obscure and almost impossible to follow. In this one, the killer, whose name is played at random and never reveal in his mind, is actually a killer who kills people just by going in and killing people in the middle of a city. The other major role of Lee is an orphan girl who's an attractive and well-known actress who plays a young nun at heart who has been tortured and murdered by a crazed killer and her husband with a couple of teenage friends.<br /><br />If anything, Hong kung fu may have an element of realism or a sense of humour and it doesn't come along until the end of one minute.<Br / Images: John Wong (credited as a Japanese director)"
"If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl","If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl. I don't recommend watching this movie. Don't waste your time or money on Grey owls, they're great!!! I'm not the worst person in the world, this is another movie that proves if you can keep up with what you are in a movie and keep the focus off of it's story or situations."
"If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards","If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards from the poor. The film also shows us exactly how important it is to be able to live in this country, how much we want the country to change, where we can live, what we see and what happens in the present. But all of these things are interconnected on both levels and are very different from a story, as well as from an art, a drama and a film.<br /><br />Having said all things considered, Jean-Claude Van Damme manages to portray the mood and atmosphere of rural France at the very best of his ability (with its incredible scenery, scenic landscapes and music) and this is an amazing achievement considering that it takes in France as one of its wealthiest countries. If Renaudoir had tried to show us in every way the beauty of France to the eyes and ears (as he would have done with his work) he could not have succeeded. A film like this one is not an ideal film but one that is very well done in many ways. As with every Renélès work I have had the pleasure to speak personally with, for some things the work is always good of course, but also because we all always like to see Ren's work in art form. It is the same way with this film that"
Pickup On South Street is one of the most brilliant movies ever made,"Pickup On South Street is one of the most brilliant movies ever made - in fact, it has made this movie the best film I have ever seen in my career. There are quite funny scenes throughout this film. The songs were by a great number of great singers such as John Waters, Miles Davis, Robert Wagner, Frank Sinatra and John Coltrane.<br /><br />There is no question in all this that there is a whole generation of very talented singers - not only to great musical styles, but also to a musical passion. This film does not disappoint. It has a wonderful story throughout and even the action scenes are spectacular."
"I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE","I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABEUS. There are many movies where people don't come to terms with the fact that they may not live with their ""normal"" life, and they also have it in common with BIBERNADOR, CHILDREN & DR. EYVEN. But this was the first ONE that was so incredibly accurate and beautifully told about the hardships of a group of people who have to travel in a large order to get themselves and their loved ones to the very end, without any emotional weight of any kind being placed on them at all. It is a wonderfully complex picture of reality for all people, from the simple, everyday to all the complicated. The very final ""point of view"" of the film was truly breathtaking and truly beautiful. I highly recommend this movie for anyone who likes to see those moments on film and not just to people living together."
"* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality ","* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality the movie was meant to be a good comedy, it would have been great for teen groups around the world that would be really disappointed. As a boy myself I think I have become more mature towards the younger generations by the time I saw it. <br /><br />As I watched the film the second time it hit me I realised how messed up the situation was and it really irritated me too. It brought me and my kids together at the end of this comedy and told me how I should be more than ""cool"" or ""lazy"" although it also made me a little wary of not telling his mother who he is. The whole ""shocking"" tone and ""charming"" attitude is taken from another movie by another writer (and I find these two very similar). So we get the idea that many of us are now too childless and insecure to cope with the harsh realities of our day to day lives. And that doesn't take away from the jokes this movie has a nice sense of humor and makes you laugh harder than usual.<br/>< br />There is also lots of music playing throughout the movie. I was surprised that the director thought this was one of his special feature films, because i am sure most who have seen this had"
This is a really fun movie,"This is a really fun movie to watch! As long as you're not expecting anything good, don't waste your time or money. There are quite a few plot twists here and there, but we also know who is going to run the hospital. For example, when a hospital doctor decides to let her stay, he is not sure what to do with her. A rather boring movie this time around, and certainly is worth the time.<br /><br />One of the characters in this film is one of three students from the school who are also the victims of a vicious gang rape that took place in the 1970's. These two women are in prison and the only way they make it out of prison is to stay there for a year. You don' know when it will end but you are not allowed to judge the rapists who will still go on their killing spree in a matter of days.<Br /></br>< br />The only thing that really makes this movie interesting is watching the other two characters playing out and having it all turned upside down. One is the guy who tells the girl to ""tell him what happened to him."" They're supposed to be playing that role well, even in real life, so if you've seen all the scenes they had to play, you'll probably like"
Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues,"Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues and tries to cover it up with their friendship (but they fall for the very girl she's attracted to) to keep her away from him.<br /><br />When her brother (Eric Schleider) tries blackmailing her and demanding that he pay her to marry him (because she couldn't afford to buy a house), she decides to stay with Charli (Eugene Valli) and try to get a divorce from her, but Charle is too greedy to tell her how much he has paid her in cash, and she convinces her husband to make her a part of the club, even if they are not close. <br/><BR />Chara doesn't understand a lot, she just finds out the truth that she has betrayed her beloved husband, so he refuses her. Charlie then uses that revelation to blackmail Charla towards leaving, not trusting Charlene anymore. So Charlon goes on his murderous rampage and sets off all kinds of bombs, from the police building to the church to every street, the military base to all places. He does not want to leave so the government starts to try and destroy his business with him, as all hell is raging with them! After an explosion that kills everyone in the world and takes over the"
"When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure","When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure and one of the worst films of it all, and it deserved to be condemned...a fine film, if you are into the horrors of cinema.<br /><br />This film was filmed at the turn of one century and a third of a century after the publication of Dostoyevsky's ""A Tale of Two Sisters"", and from then on it has become a major hit in film making circles worldwide and has sold, both as a new and timeless masterpiece and in popular film and television films alike. If you haven't seen the first installment and have your doubts about cinema go or watch the second, because it's actually another masterpiece.<b />A brilliant piece of work from a true master of storytelling -- it gives an excellent visual performance as well as keeping you fully invested. There are some moments in this tale that give you the creeps in that this is a film not for you - as one cannot watch it alone, so there is no need for someone else to bring the story into your home if not you. It is also incredibly well presented in the style of ""Les Miserables and Etienne"", a great blend of literary and modern films. <br/><b]Rating: * out of ****--- 8/10"
"Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions)","Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions) in comparison. It has a great story, nice sets, very high production values, and quite a bit of comedy. And a special soundtrack by Michael B. Jordan and Jeff Bridges - the latter of which may seem to be a nod towards the other two directors who produced those fantastic films.<br/><bra>As for the acting, the two actors do a very good job. Ben Kingsley makes as good a work of art as you may ever see. J.D. Salinger was a lot better in the original (although there was some brief flirting and the director tried to take a similar approach since he was quite good in his other films) and is a definite improvement over the great British director of the same name. (But I will certainly not recommend this one). There is also a good cast from various unknowns - Michael Beasley, Ben Gummer, William Hurt, Paul Dini, Jack Lemmon, John Huston, Richard Dreyfuss, Jerry Lewis and Paul Schrader. Very good performances by most of these characters are what are quite useful in this adaptation and one must look a little more closely at this original to understand what is to expect from this film.<Benedict Cumberbatch, a handsome and respected British actor has been"
"Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls""","Documentary starts in 1986 in NYC where black and hispanic drag queens hold ""balls"" along the avenue, where the black boy is always caught. In this first part of the piece he is ""scared"" away by an older man who has just graduated from high school. His mother takes him to see her mother's older sister, with whom she goes to school over dinner. When her father goes away, she believes him and decides to ""do the same thing over again."" With these first steps, we never see the end of black racism. But after some of these steps we have to confront the racism of a community that has been very segregated for centuries. This film does it all. It captures the frustration of life in the South of that time. One wonders how the movie came about, but I'm sure it would have been fascinating to know more about the early life of this small white community, a small town where one could ask questions like ""who is white and who is black?"" At least for our movie we can go back to the time when one couldn't ask the question ""is black really a race?"" But once we get to that point, the film's messages reveal its underlying message. The film tries to tell the story of an African-American who became a victim to racism when his white classmates were murdered by a white friend when he"
I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals,"I'm not sure if this is some kind of masterpiece or just sleazy fluff elevated by the performances and visuals, but it might be a decent effort.<br /><br />For those of you expecting great humor and/or clever action, avoid this movie. It's nothing like ""King of the Hill"" or ""The Evil Dead,"" it's too simple to the core. If you are not familiar with it, try not to go all out with a bunch of dead people eating each other after a fight and a giant, mutated spider. You will be stunned."
"If you go to this movie expecting something it isn't, you will be disappointed, as with any movie","If you go to this movie expecting something it isn't, you will be disappointed, as with any movie of its type. However I thought it was better than the movie that came after it and that is where this one falls into the category of ""great originality of a movie"". I was completely disappointed in how it tried to depict that the protagonist of the film is really a woman in her 30s. Even more so when they begin to think she is a bad person because she acts out of character, which she seems so unattractive for, when she starts to get into hot cars and get married, she never does.<br /><br />The story is basically over long enough to make you question the meaning of things, but I will give you the gist. If you have no idea of what happened at the beginning of this film then you, or anyone else, will go through some painful things throughout the story that you should have never seen before. I feel it's one that will cause you to want to watch something else instead so as to be able to find more information or find the pieces of information you need. It's more of an education than a crime; you spend an hour looking at a list of events just to see the most likely events at any given moment for there to have occurred in life. Of course those are only really possible on the one hand"
"You better see this episode from the beginning, because if you start to watch it any later, you will be confused as to what is happening to Clark's life","You better see this episode from the beginning, because if you start to watch it any later, you will be confused as to what is happening to Clark's life in the film. It starts off very weird as it becomes increasingly clear that people want Lois to kill him, but it turns into a story about her having sex with a girl. She is told that she wanted to stay and try and get Lois back and was really disappointed to lose her to another man, and had to do the killing herself to get her back for a certain amount of time.<br /><br />The end of the story tells what really happened to Lois in this film, only it does this so that we know why she left. Lois is supposed to have just met the girl who killed her and that was all that happened. There are some really bad things in ""Wonderland"", which make this movie bad and have some plot holes which I hope will never be explained in another movie as well. If someone could just tell me the plot and how many of these elements will ever be present in anything that I watch, I would love to know how it all went down. You've probably guessed what the movie says by watching the credits, since that is the only thing that makes it possible to sit down and write an entire movie about what was happening that made the worst movie imaginable. In the first ten minutes, Lois and her girlfriend are in what seems to"
"After reviewing this intense martial arts movie for the first time in nearly 18 years, I must say it did not lose any of its mysticism, nor any of its eye-popping martial arts action as I had remembered from my youth","After reviewing this intense martial arts movie for the first time in nearly 18 years, I must say it did not lose any of its mysticism, nor any of its eye-popping martial arts action as I had remembered from my youth (I remember only those parts that worked for me and the one that didn't) and that the action could be summed up much better, with a twist that was very clever and well known in the martial artists history. Not that it wasn't a clever twist and if you liked these two things, then I recommend this movie as a complete watch for all martial artist fans. <br /><br />1/10"
