prompt,answers,model,scores,entropy
"By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire'","By 1987 Hong Kong had given the world such films as Sammo Hung's `Encounters of the Spooky Kind' Chow Yun Fat in John Woo's iconic `A Better Tomorrow', `Zu Warriors' and the classic `Mr Vampire' Hong Chan Kung's masterful `The Dark King' have made excellent. Hong Chin Kung brings to mind a number of classic Hong film films such as `Hai Kung', 'The Wind Shoots' `Chei Kung' which captures a classic character by the sea-swept seas and a magnificent sea landscape of Hong Dan (Hong Chan Hong) in a spectacular and unforgettable look at how Hong and his world of politics and society interact. With his extraordinary story unfold the characters of John Hong, a Chinese businessman who is now being hunted by bandits and is living in Shanghai where his father is a great admirer of China he has befriended the leader of a small group who are not only the people of Shanghai who have been protecting China because they have a claim on the city of Lushan (the famous 'Land of Fire,'). When the arrival of British businessman, James Cook has arrived there has been a plot twist which has brought about the destruction of several towns at night with the help of Chinese forces whom are desperate to save their homeland from the wrath of General Hun Sen (Chinese General Sir Charles Hun) who he believes he is trying to eliminate but before they do this Hun's body is captured by them who use the same technology to retrieve his body so he can",jsd_beta1e-1,2.7543435096740723,5.967696666717529
"If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl","If you know the story of Grey Owl, you'll love the movie! Annie Galipeau is a great actress, and Pierce is better than never in Grey Owl. Her talent in this movie was incredible and I was delighted and impressed by her performances.<br /><br />I think it is one of the best movies I have seen in a long time! I think I will absolutely love it again, but for some reason it has never been seen by a big box release. Annie is great to work with, this truly is her first movie since, it's a very original film. I must say that I had absolutely NO doubt that this film will always be in my Top 10 favorite movies. The way she handles this role made me think of how fantastic her role was, yet it was amazing to see the amazing supporting work she did within a movie.<span name=""Grey Owl"" style=""fill-in-the-blank"" colorbeams=""colorbeam-black"" type=""image"" title=""Horror"" size=""4ptx16"" quality=""medium"" />In addition to Annie, I would also like to mention Pierce, his amazing acting and his fantastic performance for this scene. He is perfect as the evil Grey owl! And of course the characters, especially Pierce and Annie all fit perfectly together, they look wonderful together. Everything is fantastic and it truly reminded me of classic horror films, such as,",jsd_beta1e-1,2.8512864112854004,5.967696666717529
"If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards","If Jean Renoir's first film ""Whirlpool of Fate"" first takes us into the world of the countryside, the rivers, the lives of the peasantry that he will continue to explore, it seems only fitting that his second film deals for the most part with the wealthy and the privileged, the upper classes and those who are trying to claw their way upwards of these areas and up the social ladder. This new world would come to Ireland when the family was founded. The story has never once been told in English and we have not seen any film without the great Henry Cukor on screen, as well as our main character, George. An excellent introduction to Peter Lorre's film and one that should become another great example of how Lorres made an excellent film. You'll get plenty of laughs over the end of this film which is the first time you haven't seen anything Lorri directed. I'm absolutely delighted to say that for good reason. My only complaint is that it has some awful special effects which are horrible as the shots are fantastic. With so much action going on, from the very first moment of movement of all the people, and as they slowly die in the movie there makes no sense whatsoever when these individuals are fighting to rise above a situation where there is no death nor torture. At the start of each scene you begin to see the real face of Peter as you think to yourself 'The man is dead, now to change is to die for him, he is going to move the revolution!'<br /><br />There are some nice cinematography however where a lot of scenes are shot at very close",jsd_beta1e-1,1.0246520042419434,5.967696666717529
Pickup On South Street is one of the most brilliant movies ever made,"Pickup On South Street is one of the most brilliant movies ever made. There is a lot of interesting things to say about this movie. For example, it does not allow a man to go from the wrong man's life to another person's and then to the left. The film features a guy who is going to a bar and has a conversation with another guy in the bar. This is where the film gets interesting. A great idea is being allowed to happen. Being allowed that the world would be a better place were to be allowed the possibility that someone in this situation could be such a strong force for that person in a community. I think what goes through the mind during this conversation is very strong and very intelligent. Not only the story for the movie, but the supporting characters are strong as well. It is really great storytelling and I don't understand why so many people have these ideas of what can happen in such large numbers. Watching the video, I thought the idea of people walking in groups for one or more beers could work. As far as the music, the band was amazing, and the lyrics could have been written from any music. Amazing performances from each of them and truly great characters and performances in their first songs together. If the concept of a song is important to you, or for you at least your own band, then",jsd_beta1e-1,2.737008810043335,5.967696666717529
"I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABE","I have seen this film numerous times and for the life of me, I cannot understand why some people compare this to BABEAST without mentioning anything about DOGS, WATERS, CENILITIES, CARS and I HAVE NEVER heard a good movie that deals with ""Censorship"" and ""censorship. That does not excuse this movie from being in the best league of film adaptations ever made....It is a must see for anyone who loves cinema and history and should have a GREAT NIGHT for a long time.""",jsd_beta1e-1,2.3337173461914062,5.967696666717529
"* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality ","* Firstly, although many say it is the worst of the series, i don't think that it is true,considering this one ideally reflects the 21 century teen mentality!!!!.<br /><br />If you feel cheated by the fact that both 'Gangsters In Town' and 'S.H.I.E.L.' both feature more action to do than slapstick, this is your time to experience something even better. And if by no means your favourite action 'genre', then, well, that brings tears to the eyes of many. If you are going to show off your talent to be one of those action stars that is only for kids, you must have the skill, dedication and imagination of an action star that can put the most to their game!< br /> I would advise all to see this flick for yourself, so much for your intelligence and that you will want to check out it all. Truly your best friend!!!< paul@lizbudger.net",jsd_beta1e-1,1.400602102279663,5.967696666717529
This is a really fun movie,"This is a really fun movie. It is really enjoyable to see a movie that so much resembles the life I had before it. My vote goes on 4/10, I also strongly recommend it to fellow actors, actresses and fans alike. I highly recommend this movie for all types of movie lover, and it is well worth the money and time to rent it! 9/25/14!",jsd_beta1e-1,2.783140182495117,5.967696666717529
Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues,"Deaf secretary Carla (Emmanuelle Devos) is bullied by her mean spirited male colleagues, who claim she's nothing but a tomboy. Unfortunately, the pair end up in a situation of absolute insanity, culminating with the kidnapping of a young Frenchwoman in their house. Carli herself, in her first nude film appearance since she moved to LA in 2000, gives all of her screen time to portray such a hardened individual. A brilliant film, visually stunning, deeply moving, funny, action-packed, entertaining and in full steam ahead, this incredible look at the heart of the decadent American culture is very realistic. I highly recommend it to everyone, from the kids and college students alike. This must-see for any movie lover, to hardcore movie buffs or even for those that just wish to see the magic of cinematic photography, superb photography and stunning cinematography. The film is a must for all fans of cinema, and I particularly highly value the performances of Carleton and Devo. In the making of this film you will not want to miss this great show and that is why the DVD is so fantastic. It really does make everything from your childhood experiences to the life of your favorite young person in love with you. Everything you would never consider a part of just how great Carley's stunning photography is and how amazingly beautiful she is in addition to being",jsd_beta1e-1,2.8956527709960938,5.967696666717529
"When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure","When this film opened back in 1976, legend has that it was met with massive jeering and disdain --- it was widely considered a failure even by the highest ranks of Hollywood.<br /><br />The best way, as I have personally written, to compare it to the ""Lucky Ones"" ""The Haunter"" or ""Scooby Doo"" is to see several different, yet totally different films (one of the best ever for a non-Sci-Fi movie is this excellent film, starring John Wayne, by Richard Widmark, which you see it in all of his films, and you will recognize these films and film's special effects for yourself). This video was made from the studio of John Lithgow and the cast was from both Lith and Lith's parents, who married into his career during his mid-40s, giving him some of that glamour that is seen in several other movies in his life and being a big part of it. Wayne was not only very talented in the role (he also is nominated for various Academy Awards, including Best Picture and Best Actor for the aforementioned movie) but also came across by accident here in this country, his film 'The Lucky Ones', which is about a young man whose sole goal to become a successful real estate agent (you see him try to convince his wife to turn down a job in an art firm after having to sell",jsd_beta1e-1,1.992961049079895,5.967696666717529
"Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions)","Anna Christie (1931)<br /><br />On its own terms, this version of Garbo's Anna Christie, shot a year later in German with a whole new cast, is just toned down and refined enough to work better than the English version (both are American MGM productions) to become one of my favorite films in history, starring the gorgeous Jan Umani, the witty Oscar Isaac and the beautifully photographed director Ludwig Eisenstein.<br/><p><a-c)This film could only be described with so much depth, and so many twists and turns.<bridge-of-the-millenium style cinematography allows for a sense of realism, a style that has been found in many films over the course of the 20th and 30th decades of film making. There are elements of suspense and suspense, suspense builds tension, excitement and drama, shock and thrill, romance and adventure, war and love in such fantastic details that is instantly apparent.<b]Although not a complete romantic film, The Story of Anna begins with the arrival of two female friends, Anna and Margot (Vincent Caro), as the two older brothers set out to find a young woman in London (Marisa Jolen, playing the young Anna, but the younger brother was previously a dancer) and help her to understand the man she loved, who she believed to be the real Anna. As the three travel to London from Paris, there they meet up with an unexpected guest (and the daughter of a local merchant) the mother of an aristocratic family, her",jsd_beta1e-1,2.754366636276245,5.967696666717529
